org_name,slug,primary_need,rent_slug,unlit_records
Houston Area Urban League,houston-area-urban-league,rent,,
Humble Area Assistance Ministries,humble-area-assistance-ministries,utility,,
Hyde County Department of Social Services,hyde-county-department-of-social-services-energy,utility,hyde-county-department-of-social-services-emergency,hyde-county-department-of-social-services-fns
Interfaith Caring Ministries,interfaith-caring-ministries,utility,,
Iredell County Department of Social Services,iredell-county-department-of-social-services-energy,utility,iredell-county-department-of-social-services-emergency,iredell-county-department-of-social-services-fns
Jackson County Department of Social Services,jackson-county-department-of-social-services-energy,utility,jackson-county-department-of-social-services-emergency,jackson-county-department-of-social-services-fns
Jackson County Senior Citizens Org. Inc.,jackson-county-senior-citizens-org-liheap,utility,,
Johnston County Department of Social Services,johnston-county-department-of-social-services-energy,utility,johnston-county-department-of-social-services-emergency,johnston-county-department-of-social-services-fns
Jones County Department of Social Services,jones-county-department-of-social-services-energy,utility,jones-county-department-of-social-services-emergency,jones-county-department-of-social-services-fns
Katy Christian Ministries,katy-christian-ministries,utility,,
Kleberg County Human Services,kleberg-county-human-services-ceap,utility,,kleberg-county-human-services-wap
Klein United Methodist Church Food Pantry,klein-united-methodist-church-food-pantry,other,,
LINC Houston Community Services,linc-houston-community-services,rent,,
"Lake Community Action Agency, Inc.",lake-community-action-agency-liheap,utility,,
Lee County Department of Human Services,lee-county-department-of-human-services-liheap,utility,,
Lee County Department of Social Services,lee-county-department-of-social-services-energy,utility,lee-county-department-of-social-services-emergency,lee-county-department-of-social-services-fns
Lenoir County Department of Social Services,lenoir-county-department-of-social-services-energy,utility,lenoir-county-department-of-social-services-emergency,lenoir-county-department-of-social-services-fns
Lincoln County Department of Social Services,lincoln-county-department-of-social-services-energy,utility,lincoln-county-department-of-social-services-emergency,lincoln-county-department-of-social-services-fns
"Lubbock, City of, Community Development Department",lubbock-city-of-community-development-department-ceap,utility,,lubbock-city-of-community-development-department-wap
Macon County Department of Social Services,macon-county-department-of-social-services-energy,utility,macon-county-department-of-social-services-emergency,macon-county-department-of-social-services-fns
Madison County Department of Social Services,madison-county-department-of-social-services-energy,utility,madison-county-department-of-social-services-emergency,madison-county-department-of-social-services-fns
Martin County Department of Social Services,martin-county-department-of-social-services-energy,utility,martin-county-department-of-social-services-emergency,martin-county-department-of-social-services-fns
McDowell County Department of Social Services,mcdowell-county-department-of-social-services-energy,utility,mcdowell-county-department-of-social-services-emergency,mcdowell-county-department-of-social-services-fns
Mecklenburg County Department of Social Services,mecklenburg-county-department-of-social-services-energy,utility,mecklenburg-county-department-of-social-services-emergency,mecklenburg-county-department-of-social-services-fns
Memorial Assistance Ministries,memorial-assistance-ministries,utility,,
Miami-Dade County Community Action Agency,miami-dade-county-community-action-agency-liheap,utility,,
Mitchell County Department of Social Services,mitchell-county-department-of-social-services-energy,utility,mitchell-county-department-of-social-services-emergency,mitchell-county-department-of-social-services-fns
Monroe County Board of County Commissioners,monroe-county-board-of-county-commissioners-liheap,utility,,
Montgomery County Department of Social Services,montgomery-county-department-of-social-services-energy,utility,montgomery-county-department-of-social-services-emergency,montgomery-county-department-of-social-services-fns
Moore County Department of Social Services,moore-county-department-of-social-services-energy,utility,moore-county-department-of-social-services-emergency,moore-county-department-of-social-services-fns
My Brother's Keeper Outreach Center,my-brother-s-keeper-outreach-center,utility,,
Nash County Department of Social Services,nash-county-department-of-social-services-energy,utility,nash-county-department-of-social-services-emergency,nash-county-department-of-social-services-fns
New Hanover County Department of Social Services,new-hanover-county-department-of-social-services-energy,utility,new-hanover-county-department-of-social-services-emergency,new-hanover-county-department-of-social-services-fns
Northampton County Department of Social Services,northampton-county-department-of-social-services-energy,utility,northampton-county-department-of-social-services-emergency,northampton-county-department-of-social-services-fns
"Northeast Florida Community Action Agency, Inc.",northeast-florida-community-action-agency-liheap,utility,,
Northwest Assistance Ministries,northwest-assistance-ministries,utility,,
Nueces County Community Action Agency,nueces-county-community-action-agency-ceap,utility,nueces-county-community-action-agency-csbg,nueces-county-community-action-agency-wap
Onslow County Department of Social Services,onslow-county-department-of-social-services-energy,utility,onslow-county-department-of-social-services-emergency,onslow-county-department-of-social-services-fns
