	88	Orange County Department of Social Services	Hillsborough		+19192452800	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	7	86,115	Orange	77611 77630 77631 77632 77639 77662 77670	NCDHHS Local DSS Directory	orange-county-department-of-social-services-energy	orange-county-department-of-social-services-emergency
	89	Orange County Youth and Family Services Division			+14078367429	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	7	86,115	Orange	77611 77630 77631 77632 77639 77662 77670	FloridaCommerce LIHEAP provider list	orange-county-youth-and-family-services-division-liheap	
	90	Osceola County Council on Aging, Inc			+14078468532	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	18	468,058	Osceola	33848 33896 34714 34739 34741 34742 34743 34744 34745 34746 34747 34758 34759 34769 34770 34771 34772 34773	FloridaCommerce LIHEAP provider list	osceola-county-council-on-aging-inc-liheap	
	91	Palm Beach County			+15613554792	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	72	1,582,055	Palm Beach	33401 33402 33403 33404 33405 33406 33407 33408 33409 33410 33411 33412 33413 33414 33415 33416 33417 33418 33419 33420 33421 33422 33424 33425 33426 33427 33428 33429 33430 33431 33432 33433 33434 33435 33436 33437 33438 33444 33445 33446 33448 33449 33454 33458 33460 33461 33462 33463 33465 33466 33467 33468 33469 33470 33472 33473 33474 33476 33477 33478 33480 33481 33482 33483 33484 33486 33487 33488 33493 33496 33497 33498	FloridaCommerce LIHEAP provider list	palm-beach-county-liheap	
	92	Pamlico County Department of Social Services	Bayboro		+12527454086	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	9	12,550	Pamlico	28510 28515 28529 28537 28552 28556 28560 28571 28587	NCDHHS Local DSS Directory	pamlico-county-department-of-social-services-energy	pamlico-county-department-of-social-services-emergency
	93	Pasquotank County Department of Social Services	Elizabeth City		+12523382126	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	3	41,418	Pasquotank	27906 27907 27909	NCDHHS Local DSS Directory	pasquotank-county-department-of-social-services-energy	pasquotank-county-department-of-social-services-emergency
	94	Pender County Department of Social Services	Burgaw		+19102591240	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	12	70,077	Pender	28411 28421 28425 28435 28443 28445 28447 28448 28454 28457 28466 28478	NCDHHS Local DSS Directory	pender-county-department-of-social-services-energy	pender-county-department-of-social-services-emergency
	95	Perquimans County Department of Social Services	Hertford		+12524267373	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	3	13,460	Perquimans	27919 27944 27980	NCDHHS Local DSS Directory	perquimans-county-department-of-social-services-energy	perquimans-county-department-of-social-services-emergency
	96	Person County Department of Social Services	Roxboro		+13365998361	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	7	40,143	Person	27291 27343 27541 27572 27573 27574 27583	NCDHHS Local DSS Directory	person-county-department-of-social-services-energy	person-county-department-of-social-services-emergency
	97	Pinellas County Urban League, Inc.			+17273270977	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	69	965,870	Pinellas	33701 33702 33703 33704 33705 33706 33707 33708 33709 33710 33711 33712 33713 33714 33715 33716 33730 33731 33732 33733 33734 33736 33738 33741 33742 33743 33744 33747 33755 33756 33757 33758 33759 33760 33761 33762 33763 33764 33765 33766 33767 33770 33771 33772 33773 33774 33775 33776 33777 33778 33779 33780 33781 33782 33784 33785 33786 34660 34677 34681 34682 34683 34684 34685 34688 34689 34695 34697 34698	FloridaCommerce LIHEAP provider list	pinellas-county-urban-league-inc-liheap	
