	37	Currituck County Department of Social Services	Currituck		+12522323083	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	15	32,278	Currituck	NCDHHS Local DSS Directory	currituck-county-department-of-social-services-energy	currituck-county-department-of-social-services-emergency
	38	Dare County Department of Social Services	Manteo		+12524755500	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	8	38,183	Dare	NCDHHS Local DSS Directory	dare-county-department-of-social-services-energy	dare-county-department-of-social-services-emergency
	39	Davidson County Department of Social Services	Lexington		+13362422500	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	12	177,809	Davidson	NCDHHS Local DSS Directory	davidson-county-department-of-social-services-energy	davidson-county-department-of-social-services-emergency
	40	Davie County Department of Social Services	Mocksville		+13367536250	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	3	45,383	Davie	NCDHHS Local DSS Directory	davie-county-department-of-social-services-energy	davie-county-department-of-social-services-emergency
	41	Desoto County Board of Commissioners			+18639934858	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	2	36,744	DeSoto	FloridaCommerce LIHEAP provider list	desoto-county-board-of-commissioners-liheap	
	42	Duplin County Department of Social Services	Kenansville		+19102962200	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	14	50,539	Duplin	NCDHHS Local DSS Directory	duplin-county-department-of-social-services-energy	duplin-county-department-of-social-services-emergency
	43	Durham County Department of Social Services	Durham		+19195608000	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	16	343,628	Durham	NCDHHS Local DSS Directory	durham-county-department-of-social-services-energy	durham-county-department-of-social-services-emergency
	44	Economic Opportunities Council of Indian River County, Inc.			+17725624177	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	2	19	214,508	Indian River; Okeechobee	FloridaCommerce LIHEAP provider list	economic-opportunities-council-of-indian-river-county-inc-liheap	
	45	Edgecombe County Department of Social Services	Tarboro		+12526417611	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	11	49,124	Edgecombe	NCDHHS Local DSS Directory	edgecombe-county-department-of-social-services-energy	edgecombe-county-department-of-social-services-emergency
	46	FloridaCommerce (state administers LIHEAP directly)			+18507178450	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	26	494,605	Seminole	FloridaCommerce LIHEAP provider list	floridacommerce-state-administers-liheap-directly-liheap	
	47	Forsyth County Department of Social Services	Winston-Salem		+13367033800	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	28	398,143	Forsyth	NCDHHS Local DSS Directory	forsyth-county-department-of-social-services-energy	forsyth-county-department-of-social-services-emergency
