county_fips,name,state,slug,population
48465,Val Verde County,TX,val-verde-county,47999
48467,Van Zandt County,TX,van-zandt-county,65304
48469,Victoria County,TX,victoria-county,91949
48471,Walker County,TX,walker-county,83722
48473,Waller County,TX,waller-county,65109
48475,Ward County,TX,ward-county,11038
48477,Washington County,TX,washington-county,37810
48479,Webb County,TX,webb-county,272823
48481,Wharton County,TX,wharton-county,42035
48483,Wheeler County,TX,wheeler-county,4824
48485,Wichita County,TX,wichita-county,129984
48487,Wilbarger County,TX,wilbarger-county,12455
48489,Willacy County,TX,willacy-county,20027
48491,Williamson County,TX,williamson-county,727480
48493,Wilson County,TX,wilson-county,55415
48495,Winkler County,TX,winkler-county,7381
48497,Wise County,TX,wise-county,81275
48499,Wood County,TX,wood-county,48742
48501,Yoakum County,TX,yoakum-county,7581
48503,Young County,TX,young-county,18236
48505,Zapata County,TX,zapata-county,13819
48507,Zavala County,TX,zavala-county,9209
