zip,primary_state,population
28216,NC,57196
28217,NC,28955
28219,NC,
28220,NC,
28221,NC,
28222,NC,
28223,NC,5197
28224,NC,
28226,NC,40513
28227,NC,57126
28228,NC,
28229,NC,
28230,NC,
28231,NC,
28232,NC,
28233,NC,
28234,NC,
28235,NC,
28236,NC,
28237,NC,
28241,NC,
28244,NC,0
28246,NC,
28247,NC,
28256,NC,
28262,NC,46048
28266,NC,
28269,NC,82422
28270,NC,34613
28271,NC,
28273,NC,41404
28274,NC,822
28277,NC,74957
28278,NC,33426
28280,NC,22
28281,NC,
28282,NC,0
28284,NC,
28285,NC,
28287,NC,
28297,NC,
28299,NC,
28301,NC,17670
28302,NC,
28303,NC,30842
28304,NC,37120
28305,NC,5844
28306,NC,44615
28307,NC,14426
28308,NC,337
28309,NC,
28310,NC,8503
28311,NC,36302
28312,NC,19723
28314,NC,54271
28315,NC,13500
28318,NC,4275
28320,NC,7810
28323,NC,4613
28325,NC,328
28326,NC,26061
28327,NC,18118
28328,NC,25300
28329,NC,
28330,NC,384
28331,NC,150
28332,NC,444
28333,NC,10560
28334,NC,23697
28337,NC,9285
28338,NC,3811
28339,NC,6444
28340,NC,8481
28341,NC,3495
28342,NC,178
28343,NC,1368
28344,NC,2982
28345,NC,11546
28347,NC,1555
28348,NC,37476
28349,NC,3070
28350,NC,339
28351,NC,4278
28352,NC,24940
28353,NC,
28355,NC,17
28356,NC,5562
28357,NC,2746
28358,NC,32865
28359,NC,1073
28360,NC,12043
28362,NC,44
28363,NC,1257
28364,NC,12402
28365,NC,14653
28366,NC,4948
28367,NC,100
28368,NC,86
28369,NC,2123
28370,NC,
28371,NC,7278
28372,NC,13765
28373,NC,2331
28374,NC,18818
28375,NC,181
28376,NC,43160
28377,NC,11081
28378,NC,81
28379,NC,24603
28380,NC,
28382,NC,6511
28383,NC,7098
28384,NC,11160
28385,NC,2857
28386,NC,5768
28387,NC,16413
28388,NC,
28390,NC,23799
28391,NC,5476
28392,NC,1333
28393,NC,1713
28394,NC,5559
28395,NC,2596
28396,NC,2284
28398,NC,6602
28399,NC,1675
28401,NC,22204
28402,NC,
28403,NC,38134
28404,NC,
28405,NC,31775
28406,NC,
28408,NC,
28409,NC,34681
28410,NC,
28411,NC,37834
28412,NC,42758
28420,NC,3466
28421,NC,1518
28422,NC,8249
28423,NC,2009
28424,NC,59
28425,NC,10280
28428,NC,6848
28429,NC,8802
28430,NC,1522
28431,NC,6255
28432,NC,1806
28433,NC,4282
28434,NC,957
28435,NC,2241
28436,NC,1829
28438,NC,1541
28439,NC,1165
28441,NC,2965
28442,NC,1487
28443,NC,25074
28444,NC,1955
28445,NC,10243
28447,NC,992
28448,NC,977
28449,NC,1926
28450,NC,2073
28451,NC,39025
28452,NC,577
28453,NC,3251
28454,NC,3175
28455,NC,1681
28456,NC,3502
28457,NC,11008
28458,NC,5587
28459,NC,
28460,NC,12591
28461,NC,22141
28462,NC,12674
28463,NC,8494
28464,NC,2086
28465,NC,8020
28466,NC,8773
28467,NC,11770
28468,NC,5047
28469,NC,8171
28470,NC,11141
28472,NC,17308
28478,NC,4274
28479,NC,6087
28480,NC,2476
28501,NC,17964
28504,NC,20180
28508,NC,1922
28509,NC,7
28510,NC,1451
28511,NC,561
28512,NC,3011
28513,NC,10006
28515,NC,2729
28516,NC,11204
28518,NC,7852
28519,NC,389
28520,NC,254
28521,NC,1952
28522,NC,
28523,NC,2376
28524,NC,314
28525,NC,3261
28526,NC,2208
28527,NC,1220
28528,NC,588
28529,NC,2050
28530,NC,6771
28531,NC,1127
28532,NC,20340
28533,NC,1792
28537,NC,106
28538,NC,2155
28539,NC,17039
28540,NC,49739
28541,NC,
28542,NC,3536
28543,NC,5016
28544,NC,4283
28545,NC,
28546,NC,48547
28547,NC,22703
28551,NC,13215
28552,NC,141
28553,NC,382
28554,NC,158
28555,NC,5260
28556,NC,864
28557,NC,14910
28560,NC,28005
28561,NC,
28562,NC,39375
28563,NC,
28564,NC,
28570,NC,21647
28571,NC,2502
28572,NC,6549
28573,NC,2013
28574,NC,18689
28575,NC,164
28577,NC,302
