zip,county_fips,area_ratio,res_ratio
76844,48193,0.0323,
76844,48281,0.0138,
76844,48333,0.9539,
76845,48083,1.0,
76848,48327,1.0,
76849,48265,0.03,
76849,48267,0.97,
76852,48307,1.0,
76853,48281,0.8772,
76853,48333,0.1158,
76853,48411,0.007,
76854,48267,0.858,
76854,48327,0.142,
76856,48319,1.0,
76857,48049,0.9587,
76857,48093,0.0413,
76858,48095,0.6632,
76858,48307,0.3368,
76859,48267,0.1435,
76859,48327,0.8565,
76861,48399,0.3999,
76861,48451,0.6001,
76862,48095,1.0,
76864,48333,1.0,
76865,48399,1.0,
76866,48095,1.0,
76869,48299,0.2265,
76869,48319,0.3827,
76869,48411,0.3908,
76870,48333,1.0,
76871,48307,0.0916,
76871,48411,0.9084,
76872,48307,0.7929,
76872,48411,0.2071,
76873,48083,1.0,
76874,48267,0.5676,
76874,48435,0.4324,
76875,48095,0.3735,
76875,48399,0.6265,
76877,48411,1.0,
76878,48083,1.0,
76880,48333,1.0,
76882,48083,0.4493,
76882,48399,0.5507,
76884,48083,1.0,
76885,48299,1.0,
76887,48307,1.0,
76888,48083,1.0,
76890,48049,0.7823,
76890,48093,0.0202,
76890,48333,0.1975,
76901,48235,0.2773,
76901,48451,0.7227,
76902,48451,1.0,
76903,48451,1.0,
76904,48235,0.0791,
76904,48451,0.9209,
76905,48451,1.0,
76908,48451,1.0,
76909,48451,1.0,
76930,48105,0.4981,
76930,48235,0.5019,
76932,48105,0.3699,
76932,48383,0.6301,
